case_id,required_fragment_id,role,source_type,matcher_note,current_frontend_received,current_role_usable,deterministic_retrieved,embedding_retrieved,combined_retrieved,langextract_retrieved,notes
airline__44::t22,airline__44::t22#rf04,STATE,TOOL_RESULT,,no,0,0,0,1,,"{""user_id"": ""sophia_silva_7557"", ""name"": {""first_name"": ""Sophia"", ""last_name"": """
airline__44::t22,airline__44::t22#rf05,STATE,TOOL_RESULT,,no,0,0,1,1,,"{""user_id"": ""sophia_silva_7557"", ""name"": {""first_name"": ""Sophia"", ""last_name"": """
airline__44::t22,airline__44::t22#rf06,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""reservation_id"": ""KC18K6""}"
airline__7::t6,airline__7::t6#rf00,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,The current time is 2024-05-15 15:00:00 EST.
airline__7::t6,airline__7::t6#rf01,STATE,TOOL_RESULT,,no,0,0,1,1,,"{""user_id"": ""daiki_muller_1116"", ""name"": {""first_name"": ""Daiki"", ""last_name"": ""M"
airline__7::t6,airline__7::t6#rf02,STATE,TOOL_RESULT,,no,0,0,1,1,,"{""user_id"": ""daiki_muller_1116"", ""name"": {""first_name"": ""Daiki"", ""last_name"": ""M"
airline__7::t6,airline__7::t6#rf03,REQUEST,USER,,yes:goal_frontend,1,1,1,1,,59XX6W — подтверждаю отмену.
airline__7::t6,airline__7::t6#rf04,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""expression"": ""402 + 306 + 308 + 16005""}"
airline__8::t7,airline__8::t7#rf00,STATE,TOOL_RESULT,,no,0,0,1,1,,"{""user_id"": ""sophia_silva_7557"", ""name"": {""first_name"": ""Sophia"", ""last_name"": """
airline__8::t7,airline__8::t7#rf01,EVIDENCE,USER,user names profile owner,no,0,1,1,1,,Мой user id — sophia_silva_7557.
airline__8::t7,airline__8::t7#rf02,ACTION,ASSISTANT,,yes:claim_frontend,1,1,1,1,,Для завершения бронирования мне необходима дата рождения для вас (Sophia Silva).
airline__9::t6,airline__9::t6#rf00,RULE,SYSTEM,escalation-only-if rule,yes:policy_frontend,1,1,0,1,,You should transfer the user to a human agent if and only if the request cannot 
airline__9::t6,airline__9::t6#rf01,SCHEMA,TOOL_DESCRIPTION,,no,0,1,0,1,,- get_flight_status — Get the status of a flight.
airline__9::t6,airline__9::t6#rf02,STATE,TOOL_RESULT,flight numbers and dates in history,no,0,0,1,1,,"{""reservation_id"": ""NQNU5R"", ""user_id"": ""aarav_ahmed_6699"", ""origin"": ""MCO"", ""de"
airline__9::t6,airline__9::t6#rf03,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""summary"": ""The user wants to cancel reservation NQNU5R. Since the flights were"
banking_knowledge__task_003::t7,banking_knowledge__task_003::t7#rf00,RULE,SYSTEM,clause 5,yes:policy_frontend,1,1,0,1,,"5. Generally, if the issue cannot be resolved or is outside your capabilities, a"
banking_knowledge__task_003::t7,banking_knowledge__task_003::t7#rf01,SCHEMA,TOOL_DESCRIPTION,,no,0,1,0,1,,- KB_search_bm25 — Search the knowledge base using BM25 sparse retrieval.
banking_knowledge__task_003::t7,banking_knowledge__task_003::t7#rf02,KB_RULE,TOOL_RESULT,annual fee lines in KB docs (Russian),no,0,0,1,1,,1. Кредитная карта 'Platinum Rewards' для бизнеса: премиальные преимущества для 
banking_knowledge__task_003::t7,banking_knowledge__task_003::t7#rf03,EVIDENCE,TOOL_CALL,the grep pattern used,yes:t2_arguments,1,0,1,1,,"{""query"": ""годовая комиссия и кэшбэк Diamond Elite Card, Platinum Rewards Card, "
banking_knowledge__task_003::t7,banking_knowledge__task_003::t7#rf04,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""reason"": ""kb_search_unsuccessful_customer_requests_transfer"", ""summary"": ""Клие"
banking_knowledge__task_005::t6,banking_knowledge__task_005::t6#rf00,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,"To verify the identity of the user, call the appropriate read tools, and ensure "
banking_knowledge__task_005::t6,banking_knowledge__task_005::t6#rf01,STATE,TOOL_RESULT,,no,0,0,1,1,,Found 1 record(s) in 'users': 	   	  1. Record ID: 6680a37184 	     name: Kenji 
banking_knowledge__task_005::t6,banking_knowledge__task_005::t6#rf02,EVIDENCE,TOOL_RESULT,failed email lookup,no,0,0,1,1,,No records found in 'users'.
banking_knowledge__task_005::t6,banking_knowledge__task_005::t6#rf03,EVIDENCE,USER,user provided only phone,yes:goal_frontend,1,1,1,1,,"О, кажется, я случайно ввёл неправильный адрес электронной почты. Я имел в виду "
banking_knowledge__task_005::t6,banking_knowledge__task_005::t6#rf04,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""address"": ""1847 Cherry Blossom Lane, Seattle, WA 98101"", ""date_of_birth"": ""07/"
banking_knowledge__task_018::t6,banking_knowledge__task_018::t6#rf00,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,"5. Generally, if the issue cannot be resolved or is outside your capabilities, a"
banking_knowledge__task_018::t6,banking_knowledge__task_018::t6#rf01,SYS_RULE,SYSTEM,,yes:policy_frontend_leak,1,1,0,1,,"Always communicate with the user in Russian. Keep tool names, tool call argument"
banking_knowledge__task_018::t6,banking_knowledge__task_018::t6#rf02,EVIDENCE,TOOL_CALL,cyrillic-name search,yes:t2_arguments,1,0,1,1,,"{""customer_name"": ""Фатима Аль-Хассан""}"
banking_knowledge__task_018::t6,banking_knowledge__task_018::t6#rf03,REQUEST,USER,,yes:goal_frontend,1,1,1,1,,"Да, пожалуйста, переведите меня на специалиста. Я бы очень хотела разобраться с "
banking_knowledge__task_018::t6,banking_knowledge__task_018::t6#rf04,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""reason"": ""customer_requests_human_no_specific_reason"", ""summary"": ""Клиент Фати"
banking_knowledge__task_033::t2,banking_knowledge__task_033::t2#rf00,ACTION,ASSISTANT,,yes:claim_frontend,1,1,1,1,,"Я понимаю вашу срочность и желание решить этот вопрос как можно скорее. Однако, "
banking_knowledge__task_051::t15,banking_knowledge__task_051::t15#rf00,KB_RULE,TOOL_RESULT,step-2 mandatory checks doc,no,0,0,0,1,,1. Внутренний документ: История платежей CLI и критерии одобрения 	     ID: doc_
banking_knowledge__task_051::t15,banking_knowledge__task_051::t15#rf01,KB_RULE,TOOL_RESULT,utilization threshold doc,no,0,0,0,1,,1. Внутренний документ: История платежей CLI и критерии одобрения 	     ID: doc_
banking_knowledge__task_051::t15,banking_knowledge__task_051::t15#rf02,STATE,TOOL_RESULT,balance/limit state,no,0,0,1,1,,Found 1 record(s) in 'credit_card_accounts': 	   	  1. Record ID: cc_5e4c1a83b0_
banking_knowledge__task_051::t15,banking_knowledge__task_051::t15#rf03,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""agent_tool_name"": ""approve_credit_limit_increase_5847""}"
banking_knowledge__task_068::t11,banking_knowledge__task_068::t11#rf00,ACTION,TOOL_CALL,placeholder account_id inside discoverable call,yes:core,1,1,1,1,,"{""agent_tool_name"": ""close_bank_account_7392"", ""arguments"": ""{\""account_id\"": \"""
banking_knowledge__task_068::t11,banking_knowledge__task_068::t11#rf01,STATE,TOOL_RESULT,profile without account ids,no,0,0,1,1,,Found 1 record(s) in 'users': 	   	  1. Record ID: rp65a7b3c4 	     name: Riley 
banking_knowledge__task_068::t11,banking_knowledge__task_068::t11#rf02,SCHEMA,TOOL_RESULT,unlock result exposing signature,no,0,0,0,1,,1. Внутренний документ: Закрытие бизнес сберегательных счетов 	     ID: doc_bank
banking_knowledge__task_083::t10,banking_knowledge__task_083::t10#rf00,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,### Discoverable Tools
banking_knowledge__task_083::t10,banking_knowledge__task_083::t10#rf01,KB_RULE,TOOL_RESULT,,no,0,0,0,1,,1. Внутренний документ: Специальные процедуры по спорам с операциями в ATM 	    
banking_knowledge__task_083::t10,banking_knowledge__task_083::t10#rf02,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""user_id"": ""dk83f5c2a1""}"
retail__106::t3,retail__106::t3#rf00,EVIDENCE,USER,user gives name+email only,yes:goal_frontend,1,1,1,1,,Меня зовут Sofia Thomas. Мой email — sofia.thomas3019@example.com.
retail__106::t3,retail__106::t3#rf01,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""first_name"": ""Sofia"", ""last_name"": ""Thomas"", ""zip"": ""3019""}"
retail__106::t3,retail__106::t3#rf02,SCHEMA,TOOL_SCHEMA,,no,0,1,0,1,,"will return an error message. By default, find user id by email, and only call t"
retail__12::t4,retail__12::t4#rf00,ACTION,ASSISTANT,,yes:claim_frontend,1,1,1,1,,"Я понимаю ваше раздражение и сделаю всё возможное, чтобы решить ваши вопросы мак"
retail__27::t10,retail__27::t10#rf00,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,- **return or exchange delivered orders**
retail__27::t10,retail__27::t10#rf01,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,"Generally, you can only take action on pending or delivered orders."
retail__27::t10,retail__27::t10#rf02,STATE,TOOL_RESULT,,no,0,0,1,1,,"{""order_id"": ""#W5565470"", ""user_id"": ""isabella_johansson_2152"", ""address"": {""add"
retail__27::t10,retail__27::t10#rf03,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""item_ids"": [""5753502325"", ""9851293632""], ""order_id"": ""#W7181492"", ""payment_met"
retail__27::t10,retail__27::t10#rf04,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""item_ids"": [""8118291112""], ""new_item_ids"": [""8277474082""], ""order_id"": ""#W7181"
retail__27::t10,retail__27::t10#rf05,SCHEMA,TOOL_DESCRIPTION,,no,0,1,0,1,,- return_delivered_order_items — Return some items of a delivered order.
retail__29::t13,retail__29::t13#rf00,RULE,SYSTEM,exchange delivered order section,yes:policy_frontend,1,1,0,1,,"For a delivered order, each item can be exchanged to an available new item of th"
retail__29::t13,retail__29::t13#rf01,SCHEMA,TOOL_DESCRIPTION,,no,0,1,0,1,,- exchange_delivered_order_items — Exchange items in a delivered order to new it
retail__29::t13,retail__29::t13#rf02,STATE,TOOL_RESULT,,no,0,0,1,1,,"{""order_id"": ""#W7181492"", ""user_id"": ""isabella_johansson_2152"", ""address"": {""add"
retail__29::t13,retail__29::t13#rf03,STATE,TOOL_RESULT,,no,0,0,1,1,,"{""order_id"": ""#W2575533"", ""user_id"": ""isabella_johansson_2152"", ""address"": {""add"
retail__29::t13,retail__29::t13#rf04,ACTION,ASSISTANT,,yes:claim_frontend,1,1,1,1,,"Я понимаю ваше беспокойство, и я действительно очень внимательно изучила детали "
retail__36::t10,retail__36::t10#rf00,RULE,SYSTEM,modification = different option,yes:policy_frontend,1,1,0,1,,"For a pending order, you can take actions to modify its shipping address, paymen"
retail__36::t10,retail__36::t10#rf01,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""item_ids"": [""6117189161"", ""9879255677"", ""7453605304"", ""3799046073"", ""985129363"
retail__36::t10,retail__36::t10#rf02,STATE,TOOL_RESULT,,no,0,0,1,1,,"{""order_id"": ""#W9348897"", ""user_id"": ""daiki_sanchez_3253"", ""address"": {""address1"
retail__48::t4,retail__48::t4#rf00,EVIDENCE,TOOL_RESULT,failed lookup in turn 2,yes:t2_payload,1,0,1,1,,	← TOOL_RESPONSE find_user_id_by_name_zip [ERROR]: Error: User not found
retail__48::t4,retail__48::t4#rf01,EVIDENCE,TOOL_CALL,identical earlier call,no,0,1,1,1,,"{""first_name"": ""daiki"", ""last_name"": ""johnson_9523"", ""zip"": ""80273""} "
retail__48::t4,retail__48::t4#rf02,REQUEST,USER,,yes:goal_frontend,1,1,1,1,,"Странно, данные должны быть верными. Давайте я ещё раз уточню: имя — daiki_johns"
retail__48::t4,retail__48::t4#rf03,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""first_name"": ""daiki"", ""last_name"": ""johnson_9523"", ""zip"": ""80273""}"
telecom__mms_issueairplane_mode_on-bad_network_preference-bad_wifi_calling-break_app_sms_p::t7,telecom__mms_issueairplane_mode_on-bad_network_preference-bad_wifi_calling-break_app_sms_p::t7#rf00,ACTION,ASSISTANT,,yes:claim_frontend,1,1,1,1,,"Спасибо, Джон! Я нашел ваш профиль. "
telecom__mms_issueairplane_mode_on-bad_network_preference-bad_wifi_calling-data_usage_exce::t7,telecom__mms_issueairplane_mode_on-bad_network_preference-bad_wifi_calling-data_usage_exce::t7#rf00,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,# What the user can do on their device
telecom__mms_issueairplane_mode_on-bad_network_preference-bad_wifi_calling-data_usage_exce::t7,telecom__mms_issueairplane_mode_on-bad_network_preference-bad_wifi_calling-data_usage_exce::t7#rf01,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,2. **check_network_status** - Checks your phone's connection status to cellular 
telecom__mms_issueairplane_mode_on-bad_network_preference-bad_wifi_calling-data_usage_exce::t7,telecom__mms_issueairplane_mode_on-bad_network_preference-bad_wifi_calling-data_usage_exce::t7#rf02,SCHEMA,SYSTEM,absence from [AVAILABLE TOOLS],partial:binding_names_only,0,1,0,1,,</policy>
telecom__mms_issueairplane_mode_on-bad_network_preference-bad_wifi_calling-data_usage_exce::t7,telecom__mms_issueairplane_mode_on-bad_network_preference-bad_wifi_calling-data_usage_exce::t7#rf03,ACTION,TOOL_CALL,,yes:core,1,1,0,1,,{}
telecom__mms_issueairplane_mode_on-bad_network_preference-break_apn_mms_setting-break_app_::t10,telecom__mms_issueairplane_mode_on-bad_network_preference-break_apn_mms_setting-break_app_::t10#rf00,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,# What the user can do on their device
telecom__mms_issueairplane_mode_on-bad_network_preference-break_apn_mms_setting-break_app_::t10,telecom__mms_issueairplane_mode_on-bad_network_preference-break_apn_mms_setting-break_app_::t10#rf01,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,4. **check_sim_status** - Checks if your SIM card is working correctly and displ
telecom__mms_issueairplane_mode_on-bad_network_preference-break_apn_mms_setting-break_app_::t10,telecom__mms_issueairplane_mode_on-bad_network_preference-break_apn_mms_setting-break_app_::t10#rf02,EVIDENCE,TOOL_RESULT,tool-not-found error in history,yes:t2_payload,1,0,1,1,,	← TOOL_RESPONSE can_send_mms [ERROR]: Error: Tool 'can_send_mms' not found.
telecom__mms_issueairplane_mode_on-bad_network_preference-break_apn_mms_setting-break_app_::t10,telecom__mms_issueairplane_mode_on-bad_network_preference-break_apn_mms_setting-break_app_::t10#rf03,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,{}
telecom__mms_issuebreak_apn_mms_setting-user_abroad_roaming_enabled_offPERSONA_Hard::t27,telecom__mms_issuebreak_apn_mms_setting-user_abroad_roaming_enabled_offPERSONA_Hard::t27#rf00,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,# What the user can do on their device
telecom__mms_issuebreak_apn_mms_setting-user_abroad_roaming_enabled_offPERSONA_Hard::t27,telecom__mms_issuebreak_apn_mms_setting-user_abroad_roaming_enabled_offPERSONA_Hard::t27#rf01,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,14. **can_send_mms** - Checks if the messaging app can send MMS messages.
telecom__mms_issuebreak_apn_mms_setting-user_abroad_roaming_enabled_offPERSONA_Hard::t27,telecom__mms_issuebreak_apn_mms_setting-user_abroad_roaming_enabled_offPERSONA_Hard::t27#rf02,RULE,SYSTEM,escalation rule,yes:policy_frontend,1,1,0,1,,You should transfer the user to a human agent if and only if the request cannot 
telecom__mms_issuebreak_apn_mms_setting-user_abroad_roaming_enabled_offPERSONA_Hard::t27,telecom__mms_issuebreak_apn_mms_setting-user_abroad_roaming_enabled_offPERSONA_Hard::t27#rf03,ACTION,ASSISTANT,,yes:claim_frontend,1,1,1,1,,"Ваша доброта и доверие очень трогают меня, и я искренне хочу помочь вам до конца"
telecom__mms_issuebreak_apn_mms_setting-user_abroad_roaming_enabled_offPERSONA_Hard::t27,telecom__mms_issuebreak_apn_mms_setting-user_abroad_roaming_enabled_offPERSONA_Hard::t27#rf04,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""summary"": ""Customer John Smith (L1002) in France. Mobile data and Data Roaming"
telecom__mobile_data_issuebad_network_preference-bad_vpn-data_mode_off-data_saver_mode_onP::t6,telecom__mobile_data_issuebad_network_preference-bad_vpn-data_mode_off-data_saver_mode_onP::t6#rf00,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,# What the user can do on their device
telecom__mobile_data_issuebad_network_preference-bad_vpn-data_mode_off-data_saver_mode_onP::t6,telecom__mobile_data_issuebad_network_preference-bad_vpn-data_mode_off-data_saver_mode_onP::t6#rf01,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,13. **run_speed_test** - Measures your current internet connection speed (downlo
telecom__mobile_data_issuebad_network_preference-bad_vpn-data_mode_off-data_saver_mode_onP::t6,telecom__mobile_data_issuebad_network_preference-bad_vpn-data_mode_off-data_saver_mode_onP::t6#rf02,EVIDENCE,TOOL_RESULT,,no,0,0,1,1,,"{""line_id"": ""L1001"", ""phone_number"": ""555-123-2001"", ""status"": ""Active"", ""plan_i"
telecom__mobile_data_issuebad_network_preference-bad_vpn-data_mode_off-data_saver_mode_onP::t6,telecom__mobile_data_issuebad_network_preference-bad_vpn-data_mode_off-data_saver_mode_onP::t6#rf03,ACTION,TOOL_CALL,,yes:core,1,1,0,1,,{}
telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15,telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15#rf00,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,4. **check_sim_status** - Checks if your SIM card is working correctly and displ
telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15,telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15#rf01,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,# What the user can do on their device
telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15,telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15#rf02,EVIDENCE,USER,user performed device actions,no,0,0,1,1,,Спасибо большое! Только... перезагрузка — это не удалит мои фотографии? У меня т
telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15,telecom__service_issueairplane_mode_on-break_apn_settings-lock_sim_card_pin-overdue_bill_s::t15#rf03,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,{}
telecom__service_issuebreak_apn_settings-contract_end_suspension-lock_sim_card_pin-unseat_::t13,telecom__service_issuebreak_apn_settings-contract_end_suspension-lock_sim_card_pin-unseat_::t13#rf00,STATE,TOOL_RESULT,,no,0,0,1,1,,"{""line_id"": ""L1001"", ""phone_number"": ""555-123-2001"", ""status"": ""Active"", ""plan_i"
telecom__service_issuebreak_apn_settings-contract_end_suspension-lock_sim_card_pin-unseat_::t13,telecom__service_issuebreak_apn_settings-contract_end_suspension-lock_sim_card_pin-unseat_::t13#rf01,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,- The line's contract end date is in the past.
telecom__service_issuebreak_apn_settings-contract_end_suspension-lock_sim_card_pin-unseat_::t13,telecom__service_issuebreak_apn_settings-contract_end_suspension-lock_sim_card_pin-unseat_::t13#rf02,RULE,SYSTEM,,yes:policy_frontend,1,1,0,1,,The current time is 2025-02-25 12:08:00 EST.
telecom__service_issuebreak_apn_settings-contract_end_suspension-lock_sim_card_pin-unseat_::t13,telecom__service_issuebreak_apn_settings-contract_end_suspension-lock_sim_card_pin-unseat_::t13#rf03,ACTION,TOOL_CALL,,yes:core,1,1,1,1,,"{""customer_id"": ""C1001"", ""line_id"": ""L1002""}"
